,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
0,BALZAN,152000.0,apartment,No,No,2015,3,
1,GOZO,185000.0,house,No,No,2015,3,
2,GOZO,293000.0,house,Yes,No,2015,3,
3,GOZO,145000.0,maisonette,No,No,2015,3,
4,MARSASCALA,85000.0,apartment,No,No,2015,2,
5,QAWRA,140000.0,apartment,No,No,2015,3,
6,QAWRA,75500.0,house,No,No,2015,3,
7,SIĠĠIEWI,120000.0,maisonette,No,No,2015,3,
8,ST PAUL,250000.0,apartment,No,No,2015,3,
9,ST VENERA,94000.0,house,No,Yes,2015,3,
10,TA' XBIEX,850000.0,villa,No,Yes,2015,3,
11,TARXIEN,75000.0,house,No,No,2015,3,
12,ŻEBBUĠ,950000.0,house,Yes,No,2015,3,200.0
13,ATTARD,450000.0,villa,Yes,No,2015,3,
14,BALZAN,147000.0,apartment,No,No,2015,2,
15,BIRKIRKARA,150000.0,house,No,No,2015,3,
16,BIRKIRKARA,108000.0,house,No,No,2015,3,
17,COSPICUA,275000.0,house,No,No,2015,3,
18,GOZO,99000.0,house,Yes,Yes,2015,3,
19,GOZO,80000.0,apartment,No,No,2015,3,
20,GOZO,165000.0,house,No,No,2015,2,
21,GOZO,260000.0,house,No,No,2015,3,
22,KAPPARA,650000.0,villa,Yes,Yes,2015,3,
23,MARSASCALA,125000.0,apartment,No,No,2015,3,
24,MARSASCALA,175000.0,apartment,No,No,2015,3,
25,NAXXAR,875000.0,house,Yes,Yes,2015,3,
26,SLIEMA,220000.0,apartment,No,No,2015,3,175.0
27,SLIEMA,360000.0,house,No,No,2015,3,
28,ST PAUL,194250.0,house,No,No,2015,3,
29,ST VENERA,95000.0,maisonette,No,No,2015,3,
30,ST VENERA,90000.0,apartment,No,No,2015,3,
31,TA' XBIEX,850000.0,apartment,No,Yes,2015,3,270.0
32,VALLETTA,295000.0,apartment,No,No,2015,3,
33,VALLETTA,390000.0,house,No,No,2015,3,
34,VALLETTA,710000.0,house,No,No,2015,3,
35,ŻABBAR,200000.0,maisonette,No,No,2015,3,
36,ŻEBBUĠ,950000.0,house,Yes,No,2015,3,200.0
37,ŻEBBUĠ,175000.0,house,No,Yes,2015,3,
38,BALZAN,152000.0,apartment,No,No,2015,3,
39,GOZO,90500.0,apartment,No,No,2015,3,
40,GOZO,80000.0,house,Yes,No,2015,3,
41,GOZO,90000.0,house,No,No,2015,3,
42,MARSASCALA,85000.0,apartment,No,No,2015,2,
43,QAWRA,75500.0,house,No,No,2015,3,
44,ST PAUL,250000.0,apartment,No,No,2015,3,
45,ST VENERA,94000.0,house,No,Yes,2015,3,
