,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
0,,,,No,No,2015,,
1,BALZAN,152000.0,apartment,No,No,2015,3,
2,GOZO,185000.0,house,No,No,2015,,
3,GOZO,293000.0,house,Yes,No,2015,3,
4,GOZO,145000.0,maisonette,No,No,2015,,
5,MARSASCALA,85000.0,apartment,No,No,2015,2,
6,QAWRA,140000.0,apartment,No,No,2015,3,
7,QAWRA,75500.0,house,No,No,2015,3,
8,SIĠĠIEWI,120000.0,maisonette,No,No,2015,,
9,ST PAUL' S BAY,250000.0,apartment,No,No,2015,3,
10,ST VENERA,94000.0,house,No,Yes,2015,,
11,ST VENERA,110000.0,,No,Yes,2015,,
12,TA' XBIEX,850000.0,villa,No,Yes,2015,3,
13,TARXIEN,75000.0,house,No,No,2015,3,
14,THE VILLAGE,20500.0,maisonette,No,No,2015,2,
15,VICTORIA GARDENS,1600000.0,,Yes,Yes,2015,4,
16,ŻEBBUĠ,950000.0,house,Yes,No,2015,3,200.0
17,,,,No,No,2015,,
18,ATTARD,450000.0,villa,Yes,No,2015,,
19,BALZAN,147000.0,apartment,No,No,2015,2,
20,BALZAN,150000.0,,No,Yes,2015,3,
21,BIRKIRKARA,150000.0,house,No,No,2015,3,
22,BIRKIRKARA,108000.0,house,No,No,2015,,
23,COSPICUA ,275000.0,house,No,No,2015,,
24,FLEUR-DE-LYS,,house,No,No,2015,4,
25,GOZO,99000.0,house,Yes,Yes,2015,3,
26,GOZO,80000.0,apartment,No,No,2015,3,
27,GOZO,165000.0,house,No,No,2015,2,
28,GOZO,260000.0,house,No,No,2015,3,
29,KAPPARA,650000.0,villa,Yes,Yes,2015,,
30,MARSASCALA,125000.0,apartment,No,No,2015,3,
31,MARSASCALA,175000.0,apartment,No,No,2015,3,
32,MĠARR,,maisonette,No,No,2015,,
33,MTARFA,,house,No,Yes,2015,,
34,NAXXAR,875000.0,house,Yes,Yes,2015,,
35,SAN PAWL TAT-TARĠA,255000.0,,No,Yes,2015,,
36,SANTA LUĊIJA,250000.0,house,No,Yes,2015,,
37,SIĠĠIEWI,,maisonette,No,No,2015,3,
38,SLIEMA,220000.0,apartment,No,No,2015,3,175.0
39,SLIEMA,360000.0,house,No,No,2015,3,
40,ST PAUL' S BAY,194250.0,house,No,No,2015,,
41,ST VENERA,95000.0,maisonette,No,No,2015,,
42,ST VENERA,90000.0,apartment,No,No,2015,,
43,TA' XBIEX,850000.0,apartment,No,Yes,2015,3,270.0
44,THE VILLAGE,510000.0,villa,No,Yes,2015,4,
45,VALLETTA,295000.0,apartment,No,No,2015,,
46,VALLETTA,390000.0,house,No,No,2015,,
47,VALLETTA,710000.0,house,No,No,2015,,
48,VALLETTA,,,No,No,2015,,
49,ŻABBAR,200000.0,maisonette,No,No,2015,3,
50,ŻEBBUĠ,950000.0,house,Yes,No,2015,3,200.0
51,ŻEBBUĠ,175000.0,house,No,Yes,2015,3,
52,,,,No,No,2015,,
53,BALZAN,152000.0,apartment,No,No,2015,3,
54,GOZO,90500.0,apartment,No,No,2015,,
55,GOZO,80000.0,house,Yes,No,2015,,
56,GOZO,90000.0,house,No,No,2015,,
57,MARSASCALA,85000.0,apartment,No,No,2015,2,
58,QAWRA,75500.0,house,No,No,2015,3,
59,ST PAUL' S BAY,250000.0,apartment,No,No,2015,3,
60,ST VENERA,94000.0,house,No,Yes,2015,,
61,ST VENERA,110000.0,maisonette,No,Yes,2015,,
62,TARXIEN,75000.0,house,No,No,2015,3,
63,,,,No,No,2015,,
64,GOZO,105000.0,apartment,No,No,2015,2,
65,GOZO,70000.0,apartment,No,No,2015,,
66,GOZO,220000.0,,No,Yes,2015,3,
67,NAXXAR,875000.0,house,Yes,Yes,2015,,
68,SLIEMA,550000.0,apartment,No,Yes,2015,4,
69,[],,,No,No,2015,,
70,,,,No,No,2015,,
71,,,,No,No,2015,,
72,,,,No,No,2015,,
73,,,,No,No,2015,,
74,,,,No,No,2015,,
75,APARTMENTS,,maisonette,No,No,2015,,
76,ATTARD,163000.0,apartment,No,No,2015,3,
77,ATTARD,163000.0,apartment,No,No,2015,3,
78,ATTARD,135000.0,maisonette,No,No,2015,3,
79,ATTARD,130000.0,maisonette,No,No,2015,,130.0
80,ATTARD,220000.0,apartment,No,Yes,2015,3,
81,ATTARD,,,No,No,2015,,328.0
82,ATTARD,265000.0,house,No,Yes,2015,3,
83,ATTARD,,apartment,No,No,2015,2,
84,ATTARD,350000.0,house,No,Yes,2015,,
85,ATTARD,320000.0,house,No,No,2015,,300.0
86,ATTARD,275000.0,maisonette,No,Yes,2015,3,
87,ATTARD,140000.0,maisonette,No,Yes,2015,,
88,ATTARD,140000.0,apartment,No,No,2015,3,
89,ATTARD,210000.0,house,No,Yes,2015,,200.0
90,ATTARD,215000.0,house,No,Yes,2015,2,
91,ATTARD,128150.0,maisonette,No,No,2015,,
92,ATTARD,450000.0,villa,No,Yes,2015,,
93,ATTARD,645000.0,villa,Yes,No,2015,4,
94,ATTARD,500000.0,villa,No,No,2015,3,
95,ATTARD ,,house,No,No,2015,,
96,BAHAR IĊ-ĊAGĦAQ,,house,Yes,Yes,2015,3,
97,BAĦAR IĊ-ĊAGĦAQ,650000.0,villa,Yes,No,2015,,
98,BAĦAR IĊ-ĊAGĦAQ,650000.0,villa,Yes,Yes,2015,3,360.0
99,BAĦAR IĊ-ĊAGĦAQ,106000.0,apartment,Yes,No,2015,,
100,BAHAR IĊ-ĊAGĦAQ,207000.0,maisonette,No,No,2015,,
101,BAĦAR IĊ-ĊAGĦAQ,275000.0,maisonette,Yes,No,2015,,
102,BAĦRIJA,165000.0,house,No,No,2015,3,
103,BAĦRIJA,121000.0,apartment,No,No,2015,,
104,BALZAN VALLEY,140000.0,apartment,No,No,2015,3,
105,BALZAN,248000.0,apartment,No,Yes,2015,3,145.0
106,BALZAN,150000.0,apartment,No,No,2015,,150.0
107,BALZAN,370000.0,house,No,No,2015,,
108,BALZAN,175000.0,apartment,No,No,2015,3,
109,BALZAN,155000.0,apartment,No,No,2015,2,
110,BALZAN,222000.0,maisonette,No,No,2015,3,
111,BALZAN,152000.0,apartment,No,No,2015,3,
112,BALZAN,198000.0,maisonette,No,Yes,2015,,
113,BALZAN,149000.0,,No,Yes,2015,3,
114,BALZAN,245000.0,maisonette,No,Yes,2015,4,200.0
115,BALZAN,,house,No,Yes,2015,3,
116,BALZAN,,apartment,No,Yes,2015,3,
117,BALZAN,177000.0,house,No,No,2015,2,
118,BALZAN,145000.0,apartment,No,Yes,2015,2,
119,BALZAN,2750000.0,,No,No,2015,,
120,BALZAN,38000.0,,No,Yes,2015,,
121,BALZAN,168000.0,house,No,No,2015,,
122,BALZAN,127000.0,house,No,No,2015,1,
123,BIRGUMA,225000.0,house,No,Yes,2015,,160.0
124,BIRGUMA,143000.0,apartment,No,Yes,2015,2,
125,BIRGUMA,235000.0,house,No,No,2015,3,60.0
126,BIRKIRKARA ,,maisonette,No,Yes,2015,,
127,BIRKIRKARA,120000.0,apartment,No,No,2015,3,
