,Date,Tweet,Likes,Retweet,Reply,Mention
0,2022-12-10 08:07:07+00:00,"Our book chapter ""#ML for Metabolomic Pathway Analyses"" has now been published, yahoo! 📔🍾 @UMmalta @QMUL 

https://t.co/5Ogknv9eJv https://t.co/9t56WINcSc",8,0,0,"[User(username='UMmalta', id=608929606, displayname='University of Malta', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='QMUL', id=19401276, displayname='Queen Mary University of London', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-07 11:23:12+00:00,Christmas would not be the same without the #AdventOfCode https://t.co/hjKKJtDg24 🎄🎅. At least for #programmers,2,1,0,No mention
2,2022-12-06 12:51:24+00:00,"@dwejjaq_enormi if you have to explain it, it's not funny",0,0,0,"[User(username='dwejjaq_enormi', id=1337414734426071040, displayname='kat', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-11-23 20:25:15+00:00,"Come at @UMmalta to work on some #Bioinformatics projects with us.
https://t.co/8TU1IcThXR",3,2,0,"[User(username='UMmalta', id=608929606, displayname='University of Malta', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-11-18 12:44:41+00:00,"I would say I am at least at lvl5
https://t.co/6g1QHM3eFg 😓🥵",0,0,0,No mention
5,2022-11-15 10:36:09+00:00,#CPS3235 Assignment. @elonmusk is king.,1,0,1,"[User(username='elonmusk', id=44196397, displayname='Elon Musk', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-11-15 08:36:30+00:00,"These are *read* emails.  @airmalta why do you insist on these UX antipatterns (somehow using a bold, black, typeface in the subject for these emails to ""stand out"" in your inbox).  Am I the only one annoyed by this? 🛬 https://t.co/DboR7CJg0U",2,0,3,"[User(username='AirMalta', id=145612989, displayname='Air Malta', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-11-15 04:57:06+00:00,@TheMarvel91 @Campanelli11 Ma anche un banalissimo 3-4-3.,0,0,0,"[User(username='TheMarvel91', id=1377942848, displayname='Marco', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Campanelli11', id=1919541198, displayname='Alex Campanelli', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-10-14 19:37:26+00:00,@drmenguin I'm always game to some \LaTeX fun 😂,3,0,0,"[User(username='drmenguin', id=1201475837058584576, displayname='Luke Collins', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-10-14 11:04:06+00:00,"Great to see @danvlla with his few-shot #MachineLearning methods for #DrugDiscovery make it to @UMmalta 7-interesting-dissertations short-list.  (Mind you, the only https://t.co/bopmC2aCcj. dissertation I've ever witnessed without any corrections).

https://t.co/SrvSkMYPRT",6,2,1,"[User(username='danvlla', id=531209629, displayname='Daniel Vella', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='UMmalta', id=608929606, displayname='University of Malta', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
